year,ticker,comname,fieldid,fieldname,value,valuescore
2022,OXY,OCCIDENTAL PETROLEUM CORPORATION,1,ESGScore,A-,0.7560769775
2022,OXY,OCCIDENTAL PETROLEUM CORPORATION,92,CarbonOffsetsCredits,60,
2022,OXY,OCCIDENTAL PETROLEUM CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.5553633218
2022,OXY,OCCIDENTAL PETROLEUM CORPORATION,99,EmissionReductionTargetPercentage,16,
2022,OXY,OCCIDENTAL PETROLEUM CORPORATION,100,EmissionReductionTargetYear,2024,
2023,OXY,OCCIDENTAL PETROLEUM CORPORATION,1,ESGScore,A-,0.7737525350
2023,OXY,OCCIDENTAL PETROLEUM CORPORATION,92,CarbonOffsetsCredits,63,
2023,OXY,OCCIDENTAL PETROLEUM CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.5492957746
2023,OXY,OCCIDENTAL PETROLEUM CORPORATION,99,EmissionReductionTargetPercentage,16,
2023,OXY,OCCIDENTAL PETROLEUM CORPORATION,100,EmissionReductionTargetYear,2024,
2024,OXY,OCCIDENTAL PETROLEUM CORPORATION,1,ESGScore,A-,0.7934509560
2024,OXY,OCCIDENTAL PETROLEUM CORPORATION,92,CarbonOffsetsCredits,26,
2024,OXY,OCCIDENTAL PETROLEUM CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.5403508772
2024,OXY,OCCIDENTAL PETROLEUM CORPORATION,100,EmissionReductionTargetYear,2025,
2025,OXY,OCCIDENTAL PETROLEUM CORPORATION,1,ESGScore,A-,0.7781699539
2018,SHOP,SHOPIFY INC.,1,ESGScore,D+,0.2459691770
2018,SHOP,SHOPIFY INC.,94,ClimateChangeCommercialRisksOpportunities,false,0.0000000000
2019,SHOP,SHOPIFY INC.,1,ESGScore,C,0.3664255827
2019,SHOP,SHOPIFY INC.,94,ClimateChangeCommercialRisksOpportunities,false,0.0000000000
2020,SHOP,SHOPIFY INC.,1,ESGScore,C+,0.4289368373
2020,SHOP,SHOPIFY INC.,94,ClimateChangeCommercialRisksOpportunities,false,0.0000000000
